,Results,PlayerStartingTrophies,OpponentStartingTrophies,PlayerMaxTrophies,OpponentMaxTrophies,PlayerKingTowers,OpponentKingTowers
236,0,6379,5748,7327,8029,13,13
237,1,6379,5748,7327,8029,13,13
238,0,6379,5748,7327,8029,13,13
239,0,6379,5748,7327,8029,13,13
240,1,6379,5748,7327,8029,13,13
241,0,6379,5693,7327,8029,13,13
242,1,6281,7065,7883,7575,13,13
243,0,5478,5409,7303,7114,13,13
244,0,6073,6240,7277,6821,13,12
245,0,6102,5948,7277,7000,13,13
246,0,6102,7035,7277,7575,13,13
247,0,6102,6240,7277,6821,13,12
248,1,5790,4614,7510,5436,13,11
249,1,5790,4614,7510,5436,13,11
250,1,5790,4614,7510,5436,13,11
251,1,5790,4614,7510,5436,13,11
252,1,5790,4614,7510,5436,13,11
253,1,5790,4614,7510,5436,13,11
254,1,5790,4614,7510,5436,13,11
255,0,6923,5908,7463,6915,13,13
256,1,6923,5908,7463,6915,13,13
257,0,6923,5908,7463,6915,13,13
258,1,6923,5683,7463,6865,13,13
259,1,6923,5683,7463,6865,13,13
260,1,6923,4344,7463,4855,13,11
261,1,6923,4344,7463,4855,13,11
262,1,6923,4581,7463,5646,13,13
263,1,6923,4581,7463,5646,13,13
264,1,6804,6434,7777,7008,13,13
265,0,6434,6804,7008,7777,13,13
266,1,6215,5304,7223,7055,13,13
267,1,6318,5244,7223,7055,13,13
268,1,6318,5244,7223,7055,13,13
269,0,5935,6355,6690,7402,13,13
270,1,5935,6355,6690,7402,13,13
271,0,5935,6355,6690,7402,13,13
272,0,6946,7001,7465,7646,13,13
273,1,6946,7001,7465,7646,13,13
274,1,6946,7001,7465,7646,13,13
275,1,6946,7001,7465,7646,13,13
276,1,6664,6505,7246,6803,13,13
277,1,6664,6505,7246,6803,13,13
278,0,6505,6664,6803,7246,13,13
279,0,6505,6664,6803,7246,13,13
280,0,6422,5970,7013,7129,13,13
281,0,6422,5970,7013,7129,13,13
282,1,6247,6023,7096,6611,13,12
283,0,5898,4216,7103,5661,13,11
284,1,6075,5896,7003,8296,13,13
285,1,6075,5896,7003,8296,13,13
286,0,6008,6450,7556,7352,13,13
287,0,5768,5894,8014,7362,13,13
288,0,5768,5894,8014,7362,13,13
289,1,7205,4405,7528,5193,13,12
290,1,7205,4405,7528,5193,13,12
291,1,7205,4405,7528,5193,13,12
292,1,7205,4405,7528,5193,13,12
293,1,7205,4405,7528,5193,13,12
294,0,6357,6611,7316,7224,13,13
295,1,6330,4889,7416,6375,13,11
296,0,6195,5853,6638,6599,13,13
297,1,6161,6116,7023,6672,13,13
298,1,6161,6116,7023,6672,13,13
299,1,6161,6116,7023,6672,13,13
300,0,6161,6116,7023,6672,13,13
301,1,6161,6116,7023,6672,13,13
302,0,6161,6116,7023,6672,13,13
303,1,5862,6074,6720,7011,13,13
304,1,5862,6074,6720,7011,13,13
305,0,5862,6074,6720,7011,13,13
306,1,5862,6074,6720,7011,13,13
307,1,5862,6074,6720,7011,13,13
308,1,5862,6074,6720,7011,13,13
309,1,5862,6074,6720,7011,13,13
310,1,7413,5955,7862,7245,13,13
311,1,7413,5955,7862,7245,13,13
312,0,7116,7416,7850,8027,13,13
313,0,6917,6143,7505,7327,13,13
314,0,6917,6143,7505,7327,13,13
315,0,6860,4477,7505,5622,13,12
316,1,6860,4477,7505,5622,13,12
317,0,6860,4477,7505,5622,13,12
318,1,6626,5366,7762,6608,13,13
319,1,7008,7058,7762,7774,13,13
